folder,class_id,label,make,model,body,year_start,year_end,matched
1921_Maybach_Typ_W3_2270HP_Convertible,0,Maybach MAYBACH Typ W3 2270 HP Open Body,Maybach,MAYBACH Typ W3 2270 HP Open Body,other,1919,1929,True
1930_MercedesBenz_Grosser_Mercedes_W07_Pullman,1,Mercedes-Benz MERCEDES BENZ Grosser Mercedes PullmanLimousine W07,Mercedes-Benz,MERCEDES BENZ Grosser Mercedes PullmanLimousine W07,other,1930,2024,True
1939_MercedesBenz_770_Grosser_Mercedes_Pullman,2,Mercedes-Benz MERCEDES BENZ Grosser Mercedes PullmanLimousine W150,Mercedes-Benz,MERCEDES BENZ Grosser Mercedes PullmanLimousine W150,other,1930,2024,True
1955_Chrysler_C300,3,Chrysler CHRYSLER 300 Sport Coupe,Chrysler,CHRYSLER 300 Sport Coupe,other,1955,1956,True
1961_MercedesBenz_220_SE_Coupe,4,Mercedes-Benz MERCEDES BENZ Coupe W111112,Mercedes-Benz,MERCEDES BENZ Coupe W111112,other,1952,2013,True
1962_BMW_3200_CS,5,BMW BMW 3200 Coupe CS,BMW,BMW 3200 Coupe CS,other,1962,1965,True
1963_MErcedesBenz_SL_W113,6,Mercedes-Benz MERCEDES BENZ SL Pagoda W113,Mercedes-Benz,MERCEDES BENZ SL Pagoda W113,convertible,1954,2024,True
1966_Dodge_Charger,7,Dodge DODGE Charger,Dodge,DODGE Charger,other,1966,2024,True
1969_Dino_246_GT,8,Ferrari FERRARI Dino 246 GT,Ferrari,FERRARI Dino 246 GT,other,1968,1980,True
1969_Ford_Capri,9,Ford FORD Capri,Ford,FORD Capri,other,1969,1986,True
1970_Lincoln_Continental_fourdoor,10,Lincoln LINCOLN Continental,Lincoln,LINCOLN Continental,other,1958,2024,True
1971_Maserati_Bora,11,Maserati MASERATI Bora,Maserati,MASERATI Bora,other,1971,1978,True
1972_Peugeot_104,12,Peugeot PEUGEOT 104,Peugeot,PEUGEOT 104,hatchback,1972,1988,True
1980_Ferrari_Mondial_8,13,Ferrari FERRARI Mondial 8,Ferrari,FERRARI Mondial 8,other,1980,1993,True
1983_Alfa_Romeo_Arna,14,Alfa Romeo ALFA ROMEO Arna,Alfa Romeo,ALFA ROMEO Arna,hatchback,1983,1987,True
1984_BMW_M635_CSi_E24,15,BMW BMW M 635 CSi E24,BMW,BMW M 635 CSi E24,other,1984,2018,True
1986_Citroen_BX,16,Citroen CITROEN BX,Citroen,CITROEN BX,hatchback,1983,1993,True
1988_Volkswagen_Passat,17,Volkswagen VOLKSWAGEN Passat,Volkswagen,VOLKSWAGEN Passat,other,1981,2024,True
1989_Opel_Vectra_Hatchback,18,Opel OPEL Vectra Hatchback,Opel,OPEL Vectra Hatchback,hatchback,1988,2008,True
1992_Cadillac_Eldorado_TC,19,Cadillac CADILLAC Eldorado,Cadillac,CADILLAC Eldorado,other,1957,2003,True
1993_Jeep_Grand_Cherokee_ZJ,20,Jeep JEEP Grand Cherokee,Jeep,JEEP Grand Cherokee,suv,1992,2024,True
1994_Fiat_Coupe,21,Fiat FIAT Coupe,Fiat,FIAT Coupe,other,1994,2000,True
1994_Saab_900_Cabrio,22,Saab SAAB 900 Cabrio,Saab,SAAB 900 Cabrio,convertible,1986,1998,True
1995_MG_F,23,MG MG F,MG,MG F,convertible,1995,2005,True
1995_MercedesBenz_EClass,24,Mercedes-Benz MERCEDES BENZ EKlasse W210,Mercedes-Benz,MERCEDES BENZ EKlasse W210,other,1946,2024,True
1996_Volvo_C70_Coupe,25,Volvo VOLVO C70,Volvo,VOLVO C70,other,1996,2002,True
1997_Honda_Accord_Sedan__CF8,26,Honda HONDA Accord Sedan US,Honda,HONDA Accord Sedan US,other,1981,2024,True
